title,description,start_date,end_date,location,price,sold_out,link,img_link,tags
Bx-HHFM Jacobi Hospital Market,Farmers Market,2023-09-29 08:00,2023-09-29 15:00,"PELHAM PARKWAY SOUTH between WILSON AVENUE and EASTCHESTER ROAD, Bronx",0.0,False,https://www1.nyc.gov/events/hhfm-jacobi-hospital-market/460416/1,,['Farmers Market']
Mn-HHFM Metropolitan Market,Farmers Market,2023-09-29 08:00,2023-09-29 15:00,"SECOND AVENUE between EAST-97 STREET and EAST 98 STREET, Manhattan",0.0,False,https://www1.nyc.gov/events/hhfm-metropolitan-market/460463/1,,['Farmers Market']
Mn-Arsenal Gallery: Mi Parque Mi Tierra,"NYC Parks welcomes Hispanic Heritage Month with Mi Parque Mi Tierra, an exhibition at the Arsenal Gallery in Central Park. The exhibition features nearly two dozen artworks that explore Latino culture and celebrate the environmental, aesthetic, and recreational benefits of green spaces in New York City and beyond.",2023-09-29 09:00,2023-09-29 17:00,"Arsenal - 830 Fifth Avenue (3rd Floor gallery), NYC",0.0,False,https://www1.nyc.gov/events/arsenal-gallery-mi-parque-mi-tierra/461766/1,,"['Hispanic Heritage Month', 'Latino culture', 'green spaces', 'art exhibition']"
Old Cathedral Outdoor Market,Sidewalk Sale,2023-09-29 09:00,2023-09-29 20:00,"PRINCE STREET between MOTT STREET and MULBERRY STREET, Manhattan",0,False,https://www1.nyc.gov/events/old-cathedral-outdoor-market/459797/1,,['Sidewalk Sale']
Mn-St. Anthony Market,Sidewalk Sale,2023-09-29 09:00,2023-09-29 18:30,"WEST HOUSTON STREET between THOMPSON STREET and MACDOUGAL STREET, Manhattan",0.0,False,https://www1.nyc.gov/events/st-anthony-market/459470/1,,['Sidewalk Sale']
Bx-2023 Fordham Road Sidewalk Sale,Sidewalk Sale,2023-09-29 10:00,2023-09-29 21:00,"EAST FORDHAM ROAD between JEROME AVENUE and WASHINGTON AVENUE, Bronx",0.0,False,https://www1.nyc.gov/events/2023-fordham-road-sidewalk-sale/459963/1,,['Sidewalk Sale']
Crossing The Line Festival 2023,"FIAF presents the Crossing The Line Festival, its annual celebration of dynamic artists and fresh perspectives from around the French-speaking world.",2023-09-08,2023-10-13,FIAF & Other Venues,-1,False,https://www1.nyc.gov/events/crossing-the-line-festival-2023/461417/23,,"['festival', 'art', 'performance', 'French-speaking world']"
82nd Street Greenmarket,Farmers Market,2023-09-30 08:00,2023-09-30 17:00,"82nd Street between 1st Avenue and York Avenue, Manhattan",0,False,https://www1.nyc.gov/events/82-street-greenmarket-saturday/459997/1,,['Farmers Market']
SI-Compost Distribution Event,The NYC Compost Project Hosted by Snug Harbor Cultural Center & Botanical Garden is giving away FREE compost! Staff will be present to assist in loading one (1) 40-pound bag of compost into your vehicle. LIMIT ONE BAG PER NYC RESIDENCE. You must register here to receive compost.,2023-09-30 08:00,2023-09-30 10:00,"1000 Richmond Terrace, Staten Island",0.0,False,https://www1.nyc.gov/events/compost-distribution-event/461768/1,,"['compost', 'free', 'Staten Island']"
Inwood Greenmarket,Farmers Market in Inwood,2023-09-30 08:00,2023-09-30 17:00,"ISHAM STREET between SEAMAN AVENUE and COOPER STREET, Manhattan",0.0,False,https://www1.nyc.gov/events/inwood-greenmarket-saturday/460497/1,,['Farmers Market']
Mn-pompeii flea market,Sidewalk Sale,2023-09-30 08:00,2023-09-30 20:00,"BLEECKER STREET between CARMINE STREET and LEROY STREET, Manhattan",0,False,https://www1.nyc.gov/events/pompeii-flea-market/459692/1,,[]
Bk-Mexteca Food Box By 23rd st,Farmers Market,2023-09-30 08:30,2023-09-30 16:00,"23 STREET between 5 AVENUE and 6 AVENUE, Brooklyn",0,False,https://www1.nyc.gov/events/mexteca-food-box-by-23rd-st/460628/1,,['Farmers Market']
Old Cathedral Outdoor Market,Sidewalk Sale,2023-09-30 09:00,2023-09-30 20:00,"PRINCE STREET between MOTT STREET and MULBERRY STREET, Manhattan",0,False,https://www1.nyc.gov/events/old-cathedral-outdoor-market/459798/1,,['Sidewalk Sale']
Mn-St. Anthony Market,Sidewalk Sale,2023-09-30 09:00,2023-09-30 18:30,"WEST HOUSTON STREET between THOMPSON STREET and MACDOUGAL STREET, Manhattan",0,False,https://www1.nyc.gov/events/st-anthony-market/459471/1,,['Sidewalk Sale']
Bx-2023 Fordham Road Sidewalk Sale,Sidewalk Sale,2023-09-30 10:00,2023-09-30 21:00,"EAST FORDHAM ROAD between JEROME AVENUE and WASHINGTON AVENUE, Bronx",0.0,False,https://www1.nyc.gov/events/2023-fordham-road-sidewalk-sale/459964/1,,['Sidewalk Sale']
Bx-Bike the Block - Bronx,"Bike the Block with us! Learn to ride a bike, rent one for free, talk to an NYC DOT planner, or jam out to a local DJ.",2023-09-30 11:00,2023-09-30 15:00,"Bronx River Ave, 172 St to 174 St",0.0,False,https://www1.nyc.gov/events/bike-the-block---bronx/461624/1,,[]
Hoyt Playground Fall Festival,"Join NYC Parks and Council Member Tiffany Caban for a day of fun activities including inflatables, crafts, games, music, pumpkin picking, and more. All participants are encouraged to wear their costumes!",2023-09-30 11:00,2023-09-30 14:00,Hard Top Multipurpose Field,0.0,False,https://www1.nyc.gov/events/hoyt-playground-fall-festival/461765/1,,"['fall festival', 'activities', 'inflatables', 'crafts', 'games', 'music', 'pumpkin picking', 'costumes']"
Annual Fall Festival Event,Bureau of Bronx Neighborhood Health and Tremont cordially invite you to participate in our Annual Fall Festival Event.,2023-09-30 12:00,2023-09-30 18:00,"Walter Gladwin Park, Bronx",0.0,False,https://www1.nyc.gov/site/hpd/events/annual-fall-festival-event/460966/1,,"['Fall Festival', 'Bronx', 'Community Event']"
Crossing The Line Festival 2023,"FIAF presents the Crossing The Line Festival, its annual celebration of dynamic artists and fresh perspectives from around the French-speaking world.",2023-09-08,2023-10-13,FIAF & Other Venues,-1,False,https://www1.nyc.gov/events/crossing-the-line-festival-2023/461417/24,,"['festival', 'art', 'performance', 'French-speaking world']"
Murray Hill Farmers Market,Farmers Market,2023-10-01 05:00,2023-10-01 20:00,"2 AVENUE between EAST-32 STREET and EAST-33 STREET, Manhattan",0,False,https://www1.nyc.gov/events/murray-hill-farmers-market/459869/1,,['Farmers Market']
92nd Street Greenmarket,Farmers Market,2023-10-01 08:00,2023-10-01 17:00,"1 Avenue between East 93 Street and East 95 Street, Manhattan",0,False,https://www1.nyc.gov/events/92-street-greenmarket-sunday/460026/1,,['Farmers Market']
Carroll Gardens Greenmarket,Farmers Market,2023-10-01 08:00,2023-10-01 17:00,"CARROLL STREET between COURT STREET and SMITH STREET, Brooklyn",0.0,False,https://www1.nyc.gov/events/carroll-gardens-greenmarket-sunday/460102/1,,['Farmers Market']
Columbia Thursday-Sunday Greenmarket,Farmers Market,2023-10-01 08:00,2023-10-01 17:00,"BROADWAY between WEST-113 STREET and WEST-116 STREET, Manhattan",0,False,https://www1.nyc.gov/events/columbia-thursday--sunday-greenmarket/460205/1,,['Farmers Market']
Bk-Cortelyou Greenmarket,Farmers Market,2023-10-01 08:00,2023-10-01 17:00,"CORTELYOU ROAD between RUGBY ROAD and ARGYLE ROAD, Brooklyn",0,False,https://www1.nyc.gov/events/cortelyou-greenmarket-sunday/460253/1,,['Farmers Market']
Forest Hills Greenmarket,Farmers Market,2023-10-01 08:00,2023-10-01 17:00,"QUEENS BOULEVARD between 70 AVENUE and 69 ROAD, Queens",0,False,https://www1.nyc.gov/events/forest-hills-greenmarket-sunday/460386/1,,['Farmers Market']
Jackson Heights Greenmarket,Farmers Market,2023-10-01 08:00,2023-10-01 17:00,"79 STREET between NORTHERN BOULEVARD and 34 AVENUE, Queens",0,False,https://www1.nyc.gov/events/jackson-heights-greenmarket-sunday/460534/1,,['Farmers Market']
Mn-pompeii flea market,Sidewalk Sale,2023-10-01 08:00,2023-10-01 20:00,"BLEECKER STREET between CARMINE STREET and LEROY STREET, Manhattan",0.0,False,https://www1.nyc.gov/events/pompeii-flea-market/459693/1,,[]
Old Cathedral Outdoor Market,Sidewalk Sale,2023-10-01 09:00,2023-10-01 20:00,"PRINCE STREET between MOTT STREET and MULBERRY STREET, Manhattan",0,False,https://www1.nyc.gov/events/old-cathedral-outdoor-market/459799/1,,['Sidewalk Sale']
Mn-St. Anthony Market,Sidewalk Sale,2023-10-01 09:00,2023-10-01 18:30,"WEST HOUSTON STREET between THOMPSON STREET and MACDOUGAL STREET, Manhattan",0.0,False,https://www1.nyc.gov/events/st-anthony-market/459472/1,,['Sidewalk Sale']
Bx-2023 Fordham Road Sidewalk Sale,Sidewalk Sale,2023-10-01 10:00,2023-10-01 21:00,"EAST FORDHAM ROAD between JEROME AVENUE and WASHINGTON AVENUE, Bronx",0,False,https://www1.nyc.gov/events/2023-fordham-road-sidewalk-sale/459965/1,,['Sidewalk Sale']
86th Pulaski Parade,Learn about related weekend street closures,2023-10-01 12:00,2023-10-01 17:00,"36 STREET between 5 AVENUE and MADISON AVENUE, Manhattan",0,False,https://www1.nyc.gov/events/86th-pulaski-parade/460018/1,,['parade']
Crossing The Line Festival 2023,"FIAF presents the Crossing The Line Festival, its annual celebration of dynamic artists and fresh perspectives from around the French-speaking world.",2023-09-08,2023-10-13,FIAF & Other Venues,-1,False,https://www1.nyc.gov/events/crossing-the-line-festival-2023/461417/25,,"['festival', 'art', 'performance', 'French-speaking world']"
NYC City Planning Commission Review Session and Special Public Meeting,The City Planning Commission meets regularly to deliberate on land use applications. The review session will offer opportunities for both in-person and remote testimony.,2023-10-02 13:00,2023-10-02 15:00,"City Planning Commission Hearing Room, Lower Concourse, 120 Broadway, New York, NY 10271",0,False,https://www1.nyc.gov/site/nycengage/events/city-planning-commission-review-session-and-special-public-meeting/429107/1,,"['City Planning Commission', 'Public Meeting', 'Land Use Applications']"
Crossing The Line Festival 2023,"FIAF presents the Crossing The Line Festival, its annual celebration of dynamic artists and fresh perspectives from around the French-speaking world.",2023-09-08,2023-10-13,FIAF & Other Venues,-1,False,https://www1.nyc.gov/events/crossing-the-line-festival-2023/461417/26,,"['festival', 'art', 'performance', 'French-speaking world']"
New Voices in French Cinema 2023,New Voices in French Cinema is back to showcase the exceptional talent of emerging filmmakers who are making their mark in French cinema.,2023-10-03,2023-10-03,"55 E 59th St, New York",0.0,False,https://www1.nyc.gov/events/new-voices-in-french-cinema-2023/461522/6,,"['film', 'cinema', 'French']"
HPD in your District - Council District 37,"Join HPD and NYC Council Member Sandy Nurse in your district and learn about housing-related issues. We can help you prepare to apply for affordable housing, understand your rights and responsibilities, file a housing complaint, finance improvements and repairs, register your building, remedy a violation, and more!",2023-10-03 10:00,2023-10-03 17:00,"315 Wyckoff Ave, Brooklyn",0,False,https://www1.nyc.gov/site/hpd/events/hpd-in-your-district-council-district-37/461680/1,,"['housing', 'affordable housing', 'rights and responsibilities', 'housing complaint', 'improvements and repairs', 'building registration', 'violation remedy']"
Lenox Hill Food Box Farm stand,Farmers Market,2023-10-03 12:00,2023-10-03 19:00,"1 AVENUE between EAST-70 STREET and EAST-71 STREET, Manhattan",0.0,False,https://www1.nyc.gov/events/lenox-hill-food-box-farm-stand/460587/1,,['Farmers Market']
Crossing The Line Festival 2023,"FIAF presents the Crossing The Line Festival, its annual celebration of dynamic artists and fresh perspectives from around the French-speaking world.",2023-09-08,2023-10-13,FIAF & Other Venues,-1,False,https://www1.nyc.gov/events/crossing-the-line-festival-2023/461417/27,,"['festival', 'art', 'performance', 'French-speaking world']"
Kings County Hospital Market,Farmers Market,2023-10-04 08:00,2023-10-04 15:00,"CLARKSON AVENUE between EAST-37 STREET and EAST-38 STREET, Brooklyn",0.0,False,https://www1.nyc.gov/events/hhfm-kings-county-hospital-market/460440/1,,['Farmers Market']
Morris Heights Farm Stand,Farmers Market,2023-10-04 08:30,2023-10-04 17:00,"UNIVERSITY AVENUE between WEST-179 STREET and WEST-180 STREET, Bronx",0.0,False,https://www1.nyc.gov/events/morris-heights-farm-stand-wednesday/459838/1,,['Farmers Market']
Climate Ready Buildings Training,The Climate Ready Buildings Training educates affordable housing project teams on how to design and construct high-performance buildings that are resilient against the increasing pressure of climate change and align with NY’s climate goals.,2023-10-04 09:00,2023-10-04 12:00,"Building Energy Exchange, New York",0,False,https://be-exchange.org/climate-ready-buildings-training-august-2023-2/,,"['affordable housing', 'climate change', 'resilience', 'high-performance buildings']"
Bk-Chinese-American Planning Council Fresh Food Box Wednesday,Farmers Market,2023-10-04 10:00,2023-10-04 15:00,"8 AVENUE between 41 STREET and 42 STREET, Brooklyn",0,False,https://www1.nyc.gov/events/chinese-american-planning-council-fresh-food-box-wednesday/460142/1,,['Farmers Market']
HPD in Your District - Council District 3,"Join HPD and NYC Council Member Erik Bottcher in your district and learn about housing-related issues. We can help you prepare to apply for affordable housing, understand your rights and responsibilities, file a housing complaint, finance improvements and repairs, register your building, remedy a violation, and more!",2023-10-04 10:00,2023-10-04 17:00,"Hells Kitchen Park, 10th ave between West 47th and, New York",0.0,False,https://www1.nyc.gov/site/hpd/events/hpd-in-your-district-council-district-3/461410/1,,"['housing', 'affordable housing', 'rights and responsibilities', 'housing complaint', 'improvements and repairs', 'building registration', 'violation remedy']"
Uptown Grand Central Food Box Wednesday,Farmers Market,2023-10-04 13:00,2023-10-04 19:00,"125 STREET between PARK AVENUE and MADISON AVENUE, Manhattan",0,False,https://www1.nyc.gov/events/uptown-grand-central-food-box-wednesday/459501/1,,['Farmers Market']
Crossing The Line Festival 2023,"FIAF presents the Crossing The Line Festival, its annual celebration of dynamic artists and fresh perspectives from around the French-speaking world.",2023-09-08,2023-10-13,FIAF & Other Venues,-1,False,https://www1.nyc.gov/events/crossing-the-line-festival-2023/461417/28,,"['festival', 'art', 'performance', 'French-speaking world']"
Columbia Thursday-Sunday Greenmarket,Farmers Market,2023-10-05 08:00,2023-10-08 17:00,"BROADWAY between WEST-113 STREET and WEST-116 STREET, Manhattan",0,False,https://www1.nyc.gov/events/columbia-thursday--sunday-greenmarket/460206/1,,['Farmers Market']
Norwood Farm Stand Thursday,Farmers Market,2023-10-05 08:30,2023-10-05 17:00,"EAST GUN HILL ROAD between DEKALB AVENUE and ROCHAMBEAU AVENUE, Bronx",0.0,False,https://www1.nyc.gov/events/norwood-farm-stand-thursday/459910/1,,['Farmers Market']
Mn-St. Anthony Market,Sidewalk Sale,2023-10-05 09:00,2023-10-05 18:30,"WEST HOUSTON STREET between THOMPSON STREET and MACDOUGAL STREET, Manhattan",0.0,False,https://www1.nyc.gov/events/st-anthony-market/459473/1,,[]
HPD in your District - Council District 37,"Join HPD and NYC Council Member Sandy Nurse in your district and learn about housing-related issues. We can help you prepare to apply for affordable housing, understand your rights and responsibilities, file a housing complaint, finance improvements and repairs, register your building, remedy a violation, and more!",2023-10-05 10:00,2023-10-05 17:00,"Callahan Kelly Playground Truxton Street, Brooklyn",0.0,False,https://www1.nyc.gov/site/hpd/events/hpd-in-your-district-council-district-37/461681/1,,"['housing', 'affordable housing', 'rights', 'complaints', 'improvements', 'repairs', 'building registration', 'violations']"
Mn-East Harlem Health Action center Food Box Thursday,Farmers Market,2023-10-05 13:00,2023-10-05 18:30,"EAST-115 STREET between 3 AVENUE and LEXINGTON AVENUE, Manhattan",0,False,https://www1.nyc.gov/events/east-harlem-health-action-center-food-box-thursday/460340/1,,['Farmers Market']
Crossing The Line Festival 2023,"FIAF presents the Crossing The Line Festival, its annual celebration of dynamic artists and fresh perspectives from around the French-speaking world.",2023-09-08,2023-10-13,FIAF & Other Venues,-1,False,https://www1.nyc.gov/events/crossing-the-line-festival-2023/461417/29,,"['festival', 'art', 'performance', 'French-speaking world']"
97 Street Greenmarket,Farmers Market,2023-10-06 08:00,2023-10-06 17:00,"97 STREET between COLUMBUS AVENUE and AMSTERDAM AVENUE, Manhattan",0,False,https://www1.nyc.gov/events/97-street-greenmarket-friday/460058/1,,['Farmers Market']
Crown Heights Farm Stand,Farmers Market,2023-10-06 08:00,2023-10-06 17:00,"Nostrand Avenue between Carroll Street and Crown Street, Brooklyn",0,False,https://www1.nyc.gov/events/crown-heights-farm-stand-friday/460290/1,,['Farmers Market']
Bx-HHFM Jacobi Hospital Market,Farmers Market,2023-10-06 08:00,2023-10-06 15:00,"PELHAM PARKWAY SOUTH between WILSON AVENUE and EASTCHESTER ROAD, Bronx",0.0,False,https://www1.nyc.gov/events/hhfm-jacobi-hospital-market/460417/1,,['Farmers Market']
Mn-HHFM Metropolitan Market,Farmers Market,2023-10-06 08:00,2023-10-06 15:00,"SECOND AVENUE between EAST-97 STREET and EAST 98 STREET, Manhattan",0,False,https://www1.nyc.gov/events/hhfm-metropolitan-market/460464/1,,['Farmers Market']
Old Cathedral Outdoor Market,Sidewalk Sale,2023-10-06 09:00,2023-10-06 20:00,"PRINCE STREET between MOTT STREET and MULBERRY STREET, Manhattan",0,False,https://www1.nyc.gov/events/old-cathedral-outdoor-market/459800/1,,['Sidewalk Sale']
Mn-St. Anthony Market,Sidewalk Sale,2023-10-06 09:00,2023-10-06 18:30,"WEST HOUSTON STREET between THOMPSON STREET and MACDOUGAL STREET, Manhattan",0.0,False,https://www1.nyc.gov/events/st-anthony-market/459474/1,,[]
Crossing The Line Festival 2023,"FIAF presents the Crossing The Line Festival, its annual celebration of dynamic artists and fresh perspectives from around the French-speaking world.",2023-09-08,2023-10-13,FIAF & Other Venues,-1,False,https://www1.nyc.gov/events/crossing-the-line-festival-2023/461417/30,,"['festival', 'art', 'performance', 'French-speaking world']"
82nd Street Greenmarket,Farmers Market on 82nd Street,2023-10-07 08:00,2023-10-07 17:00,"82nd Street between 1st Avenue and York Avenue, Manhattan",0.0,False,https://www1.nyc.gov/events/82-street-greenmarket-saturday/459998/1,,['Farmers Market']
Inwood Greenmarket Saturday,Farmers Market,2023-10-07 08:00,2023-10-07 17:00,"ISHAM STREET between SEAMAN AVENUE and COOPER STREET, Manhattan",0.0,False,https://www1.nyc.gov/events/inwood-greenmarket-saturday/460498/1,,['Farmers Market']
Mn-pompeii flea market,Sidewalk Sale,2023-10-07 08:00,2023-10-07 20:00,"BLEECKER STREET between CARMINE STREET and LEROY STREET, Manhattan",0,False,https://www1.nyc.gov/events/pompeii-flea-market/459694/1,,[]
Bk-Mexteca Food Box By 23rd st,Farmers Market,2023-10-07 08:30,2023-10-07 16:00,"23 STREET between 5 AVENUE and 6 AVENUE, Brooklyn",0,False,https://www1.nyc.gov/events/mexteca-food-box-by-23rd-st/460629/1,,['Farmers Market']
Old Cathedral Outdoor Market,Sidewalk Sale,2023-10-07 09:00,2023-10-07 20:00,"PRINCE STREET between MOTT STREET and MULBERRY STREET, Manhattan",0,False,https://www1.nyc.gov/events/old-cathedral-outdoor-market/459802/1,,['Sidewalk Sale']
Mn-St. Anthony Market,Sidewalk Sale,2023-10-07 09:00,2023-10-07 18:30,"WEST HOUSTON STREET between THOMPSON STREET and MACDOUGAL STREET, Manhattan",0.0,False,https://www1.nyc.gov/events/st-anthony-market/459475/1,,[]
